ticket_id,product_id,product_name,category,quantity,unit_price,subtotal,tags
T000009,P015,Aguacate (4 uds),Fruta,4,4.2,16.8,"vegano,fruta"
T000009,P011,Bebida de soja (1L),Lácteos Alt,3,1.5,4.5,"vegano,lacteo"
T000009,P010,Tofu ecológico (400g),Proteína,1,3.2,3.2,"vegano,proteina"
T000010,P012,Garbanzos ecológicos,Legumbre,2,2.1,4.2,"vegano,legumbre"
T000010,P014,Quinoa (500g),Cereal,1,3.8,3.8,"vegano,cereal"
T000010,P010,Tofu ecológico (400g),Proteína,3,3.2,9.6,"vegano,proteina"
T000011,P010,Tofu ecológico (400g),Proteína,1,3.2,3.2,"vegano,proteina"
T000011,P015,Aguacate (4 uds),Fruta,2,4.2,8.4,"vegano,fruta"
T000011,P011,Bebida de soja (1L),Lácteos Alt,1,1.5,1.5,"vegano,lacteo"
T000011,P012,Garbanzos ecológicos,Legumbre,2,2.1,4.2,"vegano,legumbre"
T000011,P013,Tahini (300g),Condimento,1,4.5,4.5,vegano
T000012,P014,Quinoa (500g),Cereal,2,3.8,7.6,"vegano,cereal"
T000012,P015,Aguacate (4 uds),Fruta,3,4.2,12.6,"vegano,fruta"
T000012,P012,Garbanzos ecológicos,Legumbre,3,2.1,6.3,"vegano,legumbre"
T000012,P011,Bebida de soja (1L),Lácteos Alt,1,1.5,1.5,"vegano,lacteo"
T000012,P013,Tahini (300g),Condimento,3,4.5,13.5,vegano
T000012,P010,Tofu ecológico (400g),Proteína,1,3.2,3.2,"vegano,proteina"
T000013,P010,Tofu ecológico (400g),Proteína,3,3.2,9.6,"vegano,proteina"
T000013,P015,Aguacate (4 uds),Fruta,4,4.2,16.8,"vegano,fruta"
T000013,P013,Tahini (300g),Condimento,4,4.5,18.0,vegano
T000013,P014,Quinoa (500g),Cereal,3,3.8,11.4,"vegano,cereal"
T000013,P012,Garbanzos ecológicos,Legumbre,1,2.1,2.1,"vegano,legumbre"
T000013,P011,Bebida de soja (1L),Lácteos Alt,3,1.5,4.5,"vegano,lacteo"
T000014,P015,Aguacate (4 uds),Fruta,2,4.2,8.4,"vegano,fruta"
T000014,P011,Bebida de soja (1L),Lácteos Alt,3,1.5,4.5,"vegano,lacteo"
T000014,P010,Tofu ecológico (400g),Proteína,3,3.2,9.6,"vegano,proteina"
T000014,P013,Tahini (300g),Condimento,1,4.5,4.5,vegano
T000014,P014,Quinoa (500g),Cereal,1,3.8,3.8,"vegano,cereal"
T000014,P012,Garbanzos ecológicos,Legumbre,2,2.1,4.2,"vegano,legumbre"
T000015,P012,Garbanzos ecológicos,Legumbre,4,2.1,8.4,"vegano,legumbre"
T000015,P014,Quinoa (500g),Cereal,1,3.8,3.8,"vegano,cereal"
T000015,P015,Aguacate (4 uds),Fruta,4,4.2,16.8,"vegano,fruta"
T000015,P011,Bebida de soja (1L),Lácteos Alt,1,1.5,1.5,"vegano,lacteo"
T000016,P003,Pechuga de pollo (500g),Proteína,2,4.15,8.3,"fitness,proteina"
T000016,P002,Avena integral (1kg),Carbohidratos,2,2.3,4.6,"fitness,desayuno"
T000016,P004,Arroz integral (1kg),Carbohidratos,2,1.8,3.6,fitness
T000017,P005,Brócoli (500g),Verdura,4,1.2,4.8,"fitness,verdura"
T000017,P003,Pechuga de pollo (500g),Proteína,1,4.15,4.15,"fitness,proteina"
T000017,P002,Avena integral (1kg),Carbohidratos,3,2.3,6.9,"fitness,desayuno"
T000017,P006,Proteína whey (1kg),Suplemento,1,24.5,24.5,"fitness,proteina,suplemento"
T000018,P004,Arroz integral (1kg),Carbohidratos,2,1.8,3.6,fitness
T000018,P003,Pechuga de pollo (500g),Proteína,4,4.15,16.6,"fitness,proteina"
T000018,P001,Claras de huevo (6 uds),Proteína,3,4.5,13.5,"fitness,proteina"
T000018,P002,Avena integral (1kg),Carbohidratos,1,2.3,2.3,"fitness,desayuno"
T000019,P004,Arroz integral (1kg),Carbohidratos,4,1.8,7.2,fitness
T000019,P005,Brócoli (500g),Verdura,3,1.2,3.6,"fitness,verdura"
T000019,P001,Claras de huevo (6 uds),Proteína,4,4.5,18.0,"fitness,proteina"
T000019,P002,Avena integral (1kg),Carbohidratos,3,2.3,6.9,"fitness,desayuno"
T000019,P006,Proteína whey (1kg),Suplemento,3,24.5,73.5,"fitness,proteina,suplemento"
T000019,P003,Pechuga de pollo (500g),Proteína,3,4.15,12.45,"fitness,proteina"
T000020,P006,Proteína whey (1kg),Suplemento,3,24.5,73.5,"fitness,proteina,suplemento"
T000020,P005,Brócoli (500g),Verdura,1,1.2,1.2,"fitness,verdura"
T000020,P003,Pechuga de pollo (500g),Proteína,4,4.15,16.6,"fitness,proteina"
T000021,P002,Avena integral (1kg),Carbohidratos,3,2.3,6.9,"fitness,desayuno"
T000021,P005,Brócoli (500g),Verdura,1,1.2,1.2,"fitness,verdura"
T000021,P006,Proteína whey (1kg),Suplemento,3,24.5,73.5,"fitness,proteina,suplemento"
T000021,P003,Pechuga de pollo (500g),Proteína,4,4.15,16.6,"fitness,proteina"
T000022,P005,Brócoli (500g),Verdura,4,1.2,4.8,"fitness,verdura"
T000022,P006,Proteína whey (1kg),Suplemento,4,24.5,98.0,"fitness,proteina,suplemento"
T000022,P004,Arroz integral (1kg),Carbohidratos,1,1.8,1.8,fitness
T000022,P001,Claras de huevo (6 uds),Proteína,2,4.5,9.0,"fitness,proteina"
T000022,P002,Avena integral (1kg),Carbohidratos,2,2.3,4.6,"fitness,desayuno"
T000023,P002,Avena integral (1kg),Carbohidratos,2,2.3,4.6,"fitness,desayuno"
T000023,P001,Claras de huevo (6 uds),Proteína,4,4.5,18.0,"fitness,proteina"
T000023,P004,Arroz integral (1kg),Carbohidratos,4,1.8,7.2,fitness
T000023,P006,Proteína whey (1kg),Suplemento,2,24.5,49.0,"fitness,proteina,suplemento"
T000023,P003,Pechuga de pollo (500g),Proteína,3,4.15,12.45,"fitness,proteina"
T000023,P005,Brócoli (500g),Verdura,2,1.2,2.4,"fitness,verdura"
T000024,P003,Pechuga de pollo (500g),Proteína,4,4.15,16.6,"fitness,proteina"
T000024,P002,Avena integral (1kg),Carbohidratos,1,2.3,2.3,"fitness,desayuno"
T000024,P001,Claras de huevo (6 uds),Proteína,1,4.5,4.5,"fitness,proteina"
T000024,P004,Arroz integral (1kg),Carbohidratos,2,1.8,3.6,fitness
T000024,P006,Proteína whey (1kg),Suplemento,4,24.5,98.0,"fitness,proteina,suplemento"
T000024,P005,Brócoli (500g),Verdura,1,1.2,1.2,"fitness,verdura"
T000025,P004,Arroz integral (1kg),Carbohidratos,3,1.8,5.4,fitness
T000025,P002,Avena integral (1kg),Carbohidratos,2,2.3,4.6,"fitness,desayuno"
T000025,P006,Proteína whey (1kg),Suplemento,1,24.5,24.5,"fitness,proteina,suplemento"
T000025,P001,Claras de huevo (6 uds),Proteína,4,4.5,18.0,"fitness,proteina"
T000025,P005,Brócoli (500g),Verdura,4,1.2,4.8,"fitness,verdura"
T000025,P003,Pechuga de pollo (500g),Proteína,4,4.15,16.6,"fitness,proteina"
T000026,P003,Pechuga de pollo (500g),Proteína,1,4.15,4.15,"fitness,proteina"
T000026,P002,Avena integral (1kg),Carbohidratos,1,2.3,2.3,"fitness,desayuno"
T000026,P001,Claras de huevo (6 uds),Proteína,3,4.5,13.5,"fitness,proteina"
T000026,P004,Arroz integral (1kg),Carbohidratos,1,1.8,1.8,fitness
T000027,P006,Proteína whey (1kg),Suplemento,1,24.5,24.5,"fitness,proteina,suplemento"
T000027,P003,Pechuga de pollo (500g),Proteína,4,4.15,16.6,"fitness,proteina"
T000027,P005,Brócoli (500g),Verdura,1,1.2,1.2,"fitness,verdura"
T000027,P001,Claras de huevo (6 uds),Proteína,4,4.5,18.0,"fitness,proteina"
T000027,P004,Arroz integral (1kg),Carbohidratos,3,1.8,5.4,fitness
T000028,P002,Avena integral (1kg),Carbohidratos,1,2.3,2.3,"fitness,desayuno"
T000028,P005,Brócoli (500g),Verdura,1,1.2,1.2,"fitness,verdura"
T000028,P003,Pechuga de pollo (500g),Proteína,4,4.15,16.6,"fitness,proteina"
T000028,P006,Proteína whey (1kg),Suplemento,2,24.5,49.0,"fitness,proteina,suplemento"
T000028,P004,Arroz integral (1kg),Carbohidratos,3,1.8,5.4,fitness
T000028,P001,Claras de huevo (6 uds),Proteína,3,4.5,13.5,"fitness,proteina"
T000029,P033,Patatas fritas,Snack,1,1.5,1.5,snack
T000029,P030,Pasta instantánea (5 uds),Preparado,4,3.5,14.0,"rapido,economico"
T000029,P031,Pizza congelada,Congelado,4,2.8,11.2,"congelado,rapido"
T000029,P032,Bebida energética (4 uds),Bebida,1,4.0,4.0,"energia,bebida"
T000030,P030,Pasta instantánea (5 uds),Preparado,3,3.5,10.5,"rapido,economico"
T000030,P032,Bebida energética (4 uds),Bebida,3,4.0,12.0,"energia,bebida"
T000030,P033,Patatas fritas,Snack,1,1.5,1.5,snack
T000031,P032,Bebida energética (4 uds),Bebida,4,4.0,16.0,"energia,bebida"
T000031,P033,Patatas fritas,Snack,2,1.5,3.0,snack
T000031,P031,Pizza congelada,Congelado,3,2.8,8.4,"congelado,rapido"
T000031,P030,Pasta instantánea (5 uds),Preparado,1,3.5,3.5,"rapido,economico"
T000031,P034,Sandwich mixto,Preparado,1,2.2,2.2,rapido
T000032,P031,Pizza congelada,Congelado,3,2.8,8.4,"congelado,rapido"
T000032,P034,Sandwich mixto,Preparado,2,2.2,4.4,rapido
T000032,P033,Patatas fritas,Snack,2,1.5,3.0,snack
T000032,P032,Bebida energética (4 uds),Bebida,2,4.0,8.0,"energia,bebida"
T000032,P030,Pasta instantánea (5 uds),Preparado,2,3.5,7.0,"rapido,economico"
T000033,P030,Pasta instantánea (5 uds),Preparado,2,3.5,7.0,"rapido,economico"
T000033,P032,Bebida energética (4 uds),Bebida,1,4.0,4.0,"energia,bebida"
T000033,P031,Pizza congelada,Congelado,2,2.8,5.6,"congelado,rapido"
T000033,P034,Sandwich mixto,Preparado,3,2.2,6.6,rapido
T000033,P033,Patatas fritas,Snack,4,1.5,6.0,snack
T000034,P030,Pasta instantánea (5 uds),Preparado,4,3.5,14.0,"rapido,economico"
T000034,P033,Patatas fritas,Snack,3,1.5,4.5,snack
T000034,P031,Pizza congelada,Congelado,3,2.8,8.4,"congelado,rapido"
T000034,P032,Bebida energética (4 uds),Bebida,2,4.0,8.0,"energia,bebida"
T000035,P031,Pizza congelada,Congelado,2,2.8,5.6,"congelado,rapido"
T000035,P033,Patatas fritas,Snack,2,1.5,3.0,snack
T000035,P030,Pasta instantánea (5 uds),Preparado,3,3.5,10.5,"rapido,economico"
T000035,P032,Bebida energética (4 uds),Bebida,1,4.0,4.0,"energia,bebida"
T000035,P034,Sandwich mixto,Preparado,1,2.2,2.2,rapido
T000036,P034,Sandwich mixto,Preparado,4,2.2,8.8,rapido
T000036,P032,Bebida energética (4 uds),Bebida,2,4.0,8.0,"energia,bebida"
T000036,P031,Pizza congelada,Congelado,2,2.8,5.6,"congelado,rapido"
T000036,P033,Patatas fritas,Snack,1,1.5,1.5,snack
T000036,P030,Pasta instantánea (5 uds),Preparado,3,3.5,10.5,"rapido,economico"
T000037,P032,Bebida energética (4 uds),Bebida,3,4.0,12.0,"energia,bebida"
T000037,P033,Patatas fritas,Snack,1,1.5,1.5,snack
T000037,P034,Sandwich mixto,Preparado,1,2.2,2.2,rapido
T000037,P031,Pizza congelada,Congelado,3,2.8,8.4,"congelado,rapido"
T000037,P030,Pasta instantánea (5 uds),Preparado,2,3.5,7.0,"rapido,economico"
T000038,P034,Sandwich mixto,Preparado,1,2.2,2.2,rapido
T000038,P032,Bebida energética (4 uds),Bebida,1,4.0,4.0,"energia,bebida"
T000038,P033,Patatas fritas,Snack,4,1.5,6.0,snack
T000038,P030,Pasta instantánea (5 uds),Preparado,1,3.5,3.5,"rapido,economico"
T000039,P033,Patatas fritas,Snack,4,1.5,6.0,snack
T000039,P030,Pasta instantánea (5 uds),Preparado,3,3.5,10.5,"rapido,economico"
T000039,P034,Sandwich mixto,Preparado,2,2.2,4.4,rapido
T000039,P031,Pizza congelada,Congelado,3,2.8,8.4,"congelado,rapido"
T000039,P032,Bebida energética (4 uds),Bebida,1,4.0,4.0,"energia,bebida"
T000040,P030,Pasta instantánea (5 uds),Preparado,4,3.5,14.0,"rapido,economico"
T000040,P031,Pizza congelada,Congelado,2,2.8,5.6,"congelado,rapido"
T000040,P033,Patatas fritas,Snack,1,1.5,1.5,snack
T000041,P030,Pasta instantánea (5 uds),Preparado,1,3.5,3.5,"rapido,economico"
T000041,P031,Pizza congelada,Congelado,2,2.8,5.6,"congelado,rapido"
T000041,P032,Bebida energética (4 uds),Bebida,1,4.0,4.0,"energia,bebida"
T000041,P033,Patatas fritas,Snack,2,1.5,3.0,snack
T000041,P034,Sandwich mixto,Preparado,3,2.2,6.6,rapido
T000042,P031,Pizza congelada,Congelado,2,2.8,5.6,"congelado,rapido"
T000042,P030,Pasta instantánea (5 uds),Preparado,2,3.5,7.0,"rapido,economico"
T000042,P032,Bebida energética (4 uds),Bebida,3,4.0,12.0,"energia,bebida"
T000042,P034,Sandwich mixto,Preparado,2,2.2,4.4,rapido
T000042,P033,Patatas fritas,Snack,4,1.5,6.0,snack
T000043,P032,Bebida energética (4 uds),Bebida,3,4.0,12.0,"energia,bebida"
T000043,P033,Patatas fritas,Snack,3,1.5,4.5,snack
T000043,P034,Sandwich mixto,Preparado,1,2.2,2.2,rapido
T000043,P030,Pasta instantánea (5 uds),Preparado,1,3.5,3.5,"rapido,economico"
T000043,P031,Pizza congelada,Congelado,2,2.8,5.6,"congelado,rapido"
T000044,P043,Vino tinto reserva,Bebida,1,9.5,9.5,"gourmet,vino"
T000044,P041,Aceite de oliva virgen extra,Aceite,4,12.0,48.0,"gourmet,aceite"
T000044,P042,Jamón ibérico (100g),Embutido,4,15.5,62.0,"gourmet,jamon"
T000044,P044,Chocolate 85% cacao,Dulce,2,3.8,7.6,"gourmet,chocolate"
T000044,P040,Queso manchego curado,Queso,3,8.5,25.5,"gourmet,queso"
T000045,P041,Aceite de oliva virgen extra,Aceite,3,12.0,36.0,"gourmet,aceite"
T000045,P044,Chocolate 85% cacao,Dulce,3,3.8,11.4,"gourmet,chocolate"
T000045,P042,Jamón ibérico (100g),Embutido,2,15.5,31.0,"gourmet,jamon"
T000045,P040,Queso manchego curado,Queso,2,8.5,17.0,"gourmet,queso"
T000045,P043,Vino tinto reserva,Bebida,2,9.5,19.0,"gourmet,vino"
T000046,P040,Queso manchego curado,Queso,2,8.5,17.0,"gourmet,queso"
T000046,P042,Jamón ibérico (100g),Embutido,1,15.5,15.5,"gourmet,jamon"
T000046,P041,Aceite de oliva virgen extra,Aceite,3,12.0,36.0,"gourmet,aceite"
T000046,P043,Vino tinto reserva,Bebida,2,9.5,19.0,"gourmet,vino"
T000046,P044,Chocolate 85% cacao,Dulce,3,3.8,11.4,"gourmet,chocolate"
T000047,P041,Aceite de oliva virgen extra,Aceite,4,12.0,48.0,"gourmet,aceite"
T000047,P043,Vino tinto reserva,Bebida,1,9.5,9.5,"gourmet,vino"
T000047,P042,Jamón ibérico (100g),Embutido,1,15.5,15.5,"gourmet,jamon"
T000047,P040,Queso manchego curado,Queso,3,8.5,25.5,"gourmet,queso"
T000047,P044,Chocolate 85% cacao,Dulce,1,3.8,3.8,"gourmet,chocolate"
T000048,P040,Queso manchego curado,Queso,3,8.5,25.5,"gourmet,queso"
T000048,P043,Vino tinto reserva,Bebida,2,9.5,19.0,"gourmet,vino"
T000048,P042,Jamón ibérico (100g),Embutido,3,15.5,46.5,"gourmet,jamon"
T000048,P044,Chocolate 85% cacao,Dulce,2,3.8,7.6,"gourmet,chocolate"
T000048,P041,Aceite de oliva virgen extra,Aceite,3,12.0,36.0,"gourmet,aceite"
T000049,P042,Jamón ibérico (100g),Embutido,4,15.5,62.0,"gourmet,jamon"
T000049,P044,Chocolate 85% cacao,Dulce,1,3.8,3.8,"gourmet,chocolate"
T000049,P043,Vino tinto reserva,Bebida,4,9.5,38.0,"gourmet,vino"
T000050,P044,Chocolate 85% cacao,Dulce,2,3.8,7.6,"gourmet,chocolate"
T000050,P041,Aceite de oliva virgen extra,Aceite,2,12.0,24.0,"gourmet,aceite"
T000050,P043,Vino tinto reserva,Bebida,1,9.5,9.5,"gourmet,vino"
T000050,P040,Queso manchego curado,Queso,1,8.5,8.5,"gourmet,queso"
T000051,P040,Queso manchego curado,Queso,3,8.5,25.5,"gourmet,queso"
T000051,P044,Chocolate 85% cacao,Dulce,1,3.8,3.8,"gourmet,chocolate"
T000051,P041,Aceite de oliva virgen extra,Aceite,3,12.0,36.0,"gourmet,aceite"
T000051,P043,Vino tinto reserva,Bebida,3,9.5,28.5,"gourmet,vino"
T000052,P041,Aceite de oliva virgen extra,Aceite,2,12.0,24.0,"gourmet,aceite"
T000052,P043,Vino tinto reserva,Bebida,3,9.5,28.5,"gourmet,vino"
T000052,P040,Queso manchego curado,Queso,1,8.5,8.5,"gourmet,queso"
T000052,P044,Chocolate 85% cacao,Dulce,4,3.8,15.2,"gourmet,chocolate"
T000052,P042,Jamón ibérico (100g),Embutido,3,15.5,46.5,"gourmet,jamon"
T000053,P043,Vino tinto reserva,Bebida,4,9.5,38.0,"gourmet,vino"
T000053,P044,Chocolate 85% cacao,Dulce,1,3.8,3.8,"gourmet,chocolate"
T000053,P040,Queso manchego curado,Queso,3,8.5,25.5,"gourmet,queso"
T000054,P044,Chocolate 85% cacao,Dulce,4,3.8,15.2,"gourmet,chocolate"
T000054,P041,Aceite de oliva virgen extra,Aceite,1,12.0,12.0,"gourmet,aceite"
T000054,P043,Vino tinto reserva,Bebida,3,9.5,28.5,"gourmet,vino"
T000054,P040,Queso manchego curado,Queso,4,8.5,34.0,"gourmet,queso"
T000054,P042,Jamón ibérico (100g),Embutido,3,15.5,46.5,"gourmet,jamon"
T000055,P044,Chocolate 85% cacao,Dulce,1,3.8,3.8,"gourmet,chocolate"
T000055,P042,Jamón ibérico (100g),Embutido,4,15.5,62.0,"gourmet,jamon"
T000055,P041,Aceite de oliva virgen extra,Aceite,1,12.0,12.0,"gourmet,aceite"
T000056,P042,Jamón ibérico (100g),Embutido,2,15.5,31.0,"gourmet,jamon"
T000056,P040,Queso manchego curado,Queso,1,8.5,8.5,"gourmet,queso"
T000056,P041,Aceite de oliva virgen extra,Aceite,2,12.0,24.0,"gourmet,aceite"
T000056,P044,Chocolate 85% cacao,Dulce,4,3.8,15.2,"gourmet,chocolate"
T000056,P043,Vino tinto reserva,Bebida,3,9.5,28.5,"gourmet,vino"
T000057,P040,Queso manchego curado,Queso,1,8.5,8.5,"gourmet,queso"
T000057,P042,Jamón ibérico (100g),Embutido,3,15.5,46.5,"gourmet,jamon"
T000057,P041,Aceite de oliva virgen extra,Aceite,2,12.0,24.0,"gourmet,aceite"
T000057,P044,Chocolate 85% cacao,Dulce,3,3.8,11.4,"gourmet,chocolate"
T000058,P041,Aceite de oliva virgen extra,Aceite,3,12.0,36.0,"gourmet,aceite"
T000058,P040,Queso manchego curado,Queso,2,8.5,17.0,"gourmet,queso"
T000058,P043,Vino tinto reserva,Bebida,3,9.5,28.5,"gourmet,vino"
T000058,P044,Chocolate 85% cacao,Dulce,2,3.8,7.6,"gourmet,chocolate"
T000058,P042,Jamón ibérico (100g),Embutido,4,15.5,62.0,"gourmet,jamon"
T000059,P044,Chocolate 85% cacao,Dulce,1,3.8,3.8,"gourmet,chocolate"
T000059,P043,Vino tinto reserva,Bebida,2,9.5,19.0,"gourmet,vino"
T000059,P040,Queso manchego curado,Queso,4,8.5,34.0,"gourmet,queso"
T000059,P042,Jamón ibérico (100g),Embutido,3,15.5,46.5,"gourmet,jamon"
T000059,P041,Aceite de oliva virgen extra,Aceite,3,12.0,36.0,"gourmet,aceite"
T000060,P041,Aceite de oliva virgen extra,Aceite,4,12.0,48.0,"gourmet,aceite"
T000060,P042,Jamón ibérico (100g),Embutido,3,15.5,46.5,"gourmet,jamon"
T000060,P043,Vino tinto reserva,Bebida,3,9.5,28.5,"gourmet,vino"
T000061,P040,Queso manchego curado,Queso,1,8.5,8.5,"gourmet,queso"
T000061,P043,Vino tinto reserva,Bebida,1,9.5,9.5,"gourmet,vino"
T000061,P044,Chocolate 85% cacao,Dulce,3,3.8,11.4,"gourmet,chocolate"
T000061,P041,Aceite de oliva virgen extra,Aceite,3,12.0,36.0,"gourmet,aceite"
T000062,P042,Jamón ibérico (100g),Embutido,1,15.5,15.5,"gourmet,jamon"
T000062,P040,Queso manchego curado,Queso,4,8.5,34.0,"gourmet,queso"
T000062,P043,Vino tinto reserva,Bebida,4,9.5,38.0,"gourmet,vino"
T000062,P041,Aceite de oliva virgen extra,Aceite,3,12.0,36.0,"gourmet,aceite"
T000062,P044,Chocolate 85% cacao,Dulce,1,3.8,3.8,"gourmet,chocolate"
T000063,P034,Sandwich mixto,Preparado,2,2.2,4.4,rapido
T000063,P032,Bebida energética (4 uds),Bebida,1,4.0,4.0,"energia,bebida"
T000063,P033,Patatas fritas,Snack,3,1.5,4.5,snack
T000063,P030,Pasta instantánea (5 uds),Preparado,2,3.5,7.0,"rapido,economico"
T000063,P031,Pizza congelada,Congelado,2,2.8,5.6,"congelado,rapido"
T000064,P034,Sandwich mixto,Preparado,2,2.2,4.4,rapido
T000064,P031,Pizza congelada,Congelado,3,2.8,8.4,"congelado,rapido"
T000064,P033,Patatas fritas,Snack,1,1.5,1.5,snack
T000064,P030,Pasta instantánea (5 uds),Preparado,2,3.5,7.0,"rapido,economico"
T000064,P032,Bebida energética (4 uds),Bebida,4,4.0,16.0,"energia,bebida"
T000065,P032,Bebida energética (4 uds),Bebida,3,4.0,12.0,"energia,bebida"
T000065,P034,Sandwich mixto,Preparado,3,2.2,6.6,rapido
T000065,P031,Pizza congelada,Congelado,4,2.8,11.2,"congelado,rapido"
T000065,P030,Pasta instantánea (5 uds),Preparado,3,3.5,10.5,"rapido,economico"
T000065,P033,Patatas fritas,Snack,1,1.5,1.5,snack
T000066,P031,Pizza congelada,Congelado,4,2.8,11.2,"congelado,rapido"
T000066,P033,Patatas fritas,Snack,2,1.5,3.0,snack
T000066,P032,Bebida energética (4 uds),Bebida,4,4.0,16.0,"energia,bebida"
T000067,P031,Pizza congelada,Congelado,4,2.8,11.2,"congelado,rapido"
T000067,P032,Bebida energética (4 uds),Bebida,3,4.0,12.0,"energia,bebida"
T000067,P034,Sandwich mixto,Preparado,3,2.2,6.6,rapido
T000068,P030,Pasta instantánea (5 uds),Preparado,4,3.5,14.0,"rapido,economico"
T000068,P034,Sandwich mixto,Preparado,1,2.2,2.2,rapido
T000068,P032,Bebida energética (4 uds),Bebida,2,4.0,8.0,"energia,bebida"
T000069,P030,Pasta instantánea (5 uds),Preparado,1,3.5,3.5,"rapido,economico"
T000069,P032,Bebida energética (4 uds),Bebida,4,4.0,16.0,"energia,bebida"
T000069,P031,Pizza congelada,Congelado,4,2.8,11.2,"congelado,rapido"
T000070,P034,Sandwich mixto,Preparado,2,2.2,4.4,rapido
T000070,P033,Patatas fritas,Snack,4,1.5,6.0,snack
T000070,P031,Pizza congelada,Congelado,1,2.8,2.8,"congelado,rapido"
T000070,P030,Pasta instantánea (5 uds),Preparado,1,3.5,3.5,"rapido,economico"
T000070,P032,Bebida energética (4 uds),Bebida,1,4.0,4.0,"energia,bebida"
T000071,P030,Pasta instantánea (5 uds),Preparado,2,3.5,7.0,"rapido,economico"
T000071,P031,Pizza congelada,Congelado,4,2.8,11.2,"congelado,rapido"
